chapter,section_number,section_title,text,
3,3,Baba's Stories as Beacon Light,"Light-houses are constructed at various places in the sea, to enable
the boatmen to avoid rocks and dangers, and make them sail safely. Sai
Baba’s stories serve a similar purpose in the ocean of worldly existence.
They surpass nectar in sweetness, and make our worldly path smooth
and easy to traverse. Blessed are the stories of the saints. When they
enter our hearts through the ears, the body-consciousness or egoism
and the sense of duality vanish; and when they are stored in the heart,
doubts will evade, pride of the body will fall, and wisdom will be stored
in abundance. The description of Baba’s pure fame, and the hearing
of the same with love, will destroy the sins of the devotee and,
therefore, this is the simple Sadhana for attaining salvation. The
Sadhana for Krita Age was Sama-dama (tranquility of mind and body);
for Treta Age, sacrifice; for Dwapar worship; and for Kali (present) Age,
it is singing of the name and glory of the Lord. This last Sadhana is
open to all the people of the four Varnas (Brahmins, etc.). The other
Sadhanas, viz. Yoga Tyaga (sacrifice), Dhyan (meditation) and Dhyandharana
(concentration) are very difficult to practice, but singing and
hearing the stories and the glory of the Lord (Sai Baba) is very easy. We
have only to turn our attention towards them. The listening to and
singing of the stories will remove the attachment to the senses and their
objects, and will make the devotees dispassionate, and will ultimately
lead them to self-realization. With this end in view, Sai Baba made me
write His stories, as Satcharita. The devotees may now easily read and
hear these stories of Sai Baba and while doing so, meditate on Him, His
form and thus, attain devotion to Guru and God (Sai Baba), get dispassion
and self-realization. In the preparation and writing of this work,
Satcharita, it is Sai Baba’s grace, which has accomplished everything,
making use of me as a mere instrument.",
3,4,Motherly Love of Sai Baba,"Everybody knows, how a cow loves her infant calf. Her udder is
always full and when the calf wants milk and dashes at the udder, out
comes the milk in an unceasing flow. Similarly, a human mother knows
the wants of her child before-hand and feeds him, at her breast in time.
In case of dressing and adorning the child, the mother takes particular
care to see that, this is well done. The child knows or cares nothing
about this, but the mother’s joy knows no bounds, when she sees her
child well dressed and adorned. The love of the mother is peculiar,
extraordinary and disinterested, and has no parallel. Sadgurus feel this
motherly love towards their disciples. Sai Baba had the same love
towards me, and I give an instance of it below :
In 1916 I retired from Government service. The pension, that was
settled in my case, was not sufficient to maintain my family decently.
On Guru Pournima (15th of Ashadha) day of that year, I went to Shirdi
with other devotees. There, Mr. Anna Chinchanikar, of his own accord,
prayed to Baba for me as follows : “Please, look kindly at him, the
pension he gets is quite insufficient, his family is growing. Give him
some other appointment, remove his anxiety and make him happy!”
Baba replied, “He will get some other job, but now, he should serve Me
and be happy! His plates will be ever full and never empty. He should
turn all his attention towards Me and avoid the company of atheists,
irreligious and wicked people. He should be modest and humble
towards all, and worship Me with heart and soul. If he does this, he
will get eternal happiness.”
The question, who is this He, Whose worship is advocated, is
already answered in a note on “Who is Sai Baba” in the prologue, at
the beginning of this work.",
3,5,Rohilla's Story,"The story of the Rohila illustrates Sai Baba’s all embracing love.
One Rohila, tall and well-built, strong as a bull, came to Shirdi, wearing
a long Kafni (robe) and was enamored of the Sai, Who stayed there. Day
and night, he used to recite, in a loud and harsh tone the Kalma (verses
from Holy Quran) and shout “ALLAH HO AKBAR” (God is Great).
Most people of Shirdi, were working in their fields during the day and
when they returned to their homes at night, they were welcomed with
Rohila’s harsh cries and shouts. They could get no sleep and felt much
trouble and inconvenience. They suffered this nuisance for some days
in silence, and when they could stand it no longer, they approached
Baba and requested Him to check the Rohila and stop the nuisance.
Baba did not attend to their complaint. On the contrary, Baba took the
villagers to task and asked them to mind their own business. He said
to them that the Rohila had got a very bad wife, who tried to trouble
the Rohila and Himself; but hearing the Rohila’s prayers, she dare not
enter and they were at peace. In fact, the Rohila had no wife and by his
wife Baba meant Durbuddhi, i.e. evil thoughts. As Baba liked prayers
and cries to God better than anything else, He took the side of the
Rohila, and asked the villagers to wait and bear with the nuisance,
which would abate in due course.",
3,6,Baba's Sweet and Nectar-like Words,"One day at noon, after Arati, devotees were returning to their
lodgings, when Baba gave the following beautiful advice :
“Be wherever you like, do whatever you choose, remember this
well that, all what you do is known to Me. I am the Inner Ruler of all
and seated in your hearts. I envelope all the creatures, the movable
and immovable world. I am the Controller – the Wire-puller of the
show of this universe. I am the Mother – origin of all beings – the
Harmony of three Gunas, the Propeller of all senses, the Creator, Preserver
and Destroyer. Nothing will harm him, who turns his attention towards
Me, but Maya will lash or whip him, who forgets Me. All the insects,
ants, the visible, movable and immovable world, is My body or form”.
Hearing these beautiful and precious words, I, at once, decided in
my mind to serve no man henceforth but my Guru only; but the reply
of Baba to Anna Chinchanikar’s query (which was really mine) that I
would get some job, began to revolve in my mind, and I began to think,
whether it would come to happen. As future events showed, Baba’s
words came true and I got a Government job, but that was of short
duration. Then, I became free and devoted myself solely to the service
of my Guru Sai Baba.
Before concluding this chapter, I request the readers to leave out
the various hindrances, viz., indolence, sleep, wandering of mind,
attachments to senses etc. and turn their whole and undivided attention
to these stories of Sai Baba. Let their love be natural, let them know the
secret of devotion, let them not exhaust themselves by other Sadhanas,
let them stick to this simple remedy i.e. listening to Sai Baba’s stories.
This will destroy their ignorance and will secure for them salvation. A
miser may stay at various places, but he constantly thinks of his buried
treasure. So, let Sai Baba be enthroned in the hearts of all.
In the next chapter, I shall speak of Sai Baba’s advent in Shirdi.
Bow to Shri Sai – Peace be to all\",
4,1,Introduction,"In the last chapter, I described the circumstances, which led me to
write Sai Satcharita. Let me now describe the first advent of Sai Baba in
Shirdi.",
4,2,Mission of the Saints,"Lord Krishna says in Bhagvad Gita (Chapter IV, 7-8) that,
“Whenever there is a decay of Dharma (righteousness) and an
ascendancy of unrighteousness, I manifest Myself, for the protection of
the virtuous and the destruction of the vicious; and for the establishment
of righteousness, I manifest Myself Age after Age.”
This is the mission of to Lord, and the sages and saints, who are
His representatives, and who appear at appropriate times and work in
their own way to fulfil that mission. For instance, when the twice-born,
i.e. the Brahmins, the Kshatriyas and the Vaishyas neglect their duties,
and when the Shudras try to usurp the duties of other classes, when
spiritual preceptors are not respected but humiliated, when nobody cares
for religious instructions, when everybody thinks himself very learned,
when people begin to partake of forbidden foods and intoxicating drinks,
when under the cloak of religion people indulge in malpractices, when
people belonging to different sects fight amongst themselves, when
Brahmins fail to do Sandhya adoration, and the orthodox leave their
religious practices, when Yogis neglect their meditation, when people
begin to think that, wealth, progeny, wife are their sole concern; and thus,
turn away from the true path of salvation then, saints appear and try to
set matters right by their words and action. They serve us as beaconlights,
and show us the path, and the right way for us to follow. In this
way, many saints viz., Nivrutti, Dnyandev, Muktabai, Namdev, Gora,
Gonayi, Eknath, Tukaram, Narahari, Narsi Bhai, Sajan Kasai, Sawata,
Ramdas and various others did appear at various times to show the right
path to the people, and so, the present advent came as Shri Sai Baba of
Shirdi.",
4,3,Shirdi - a Holy Tirth,"The banks of the Godavari river, in the Ahmednagar district, are
very fortunate for they gave birth and refuge to many a saint, prominent
amongst them being Dnyaneshwar. Shirdi also falls in the Kopargaon
Taluka or the Ahmednagar district. After crossing the Godavari river at
Kopargaon, one gets on way to Shirdi. When you go three Kos1 (9 miles),
you come to Nimgaon, from where, Shirdi is visible. Shirdi is, as famous
and well-known as other holy places, like Gangapur, Nrisinhawadi,
Audumbar, on the banks of Krishna river. As the devotee Damoji
flourished, and blessed Mangalvedha (near Pandharpur), as Samarth
Ramdas at Sajjangad, as Shri Nrisimha Saraswati at Saraswatiwadi, so,
Sainath flourished at Shirdi and blessed it.",
4,4,Personality of Sai Baba,"It is on account of Shri Sai Baba that Shirdi grew into importance.
Let us see, what sort of a personage Sai Baba was. He conquered this
Sansar (worldly existence), which is very difficult and hard to cross.
Peace or mental calm was His ornament, and He was the repository of
wisdom. He was the home of Vaishnav devotees, most generous (like
Karna) amongst all, the quint-essence of all essences. He had no love for
perishable things, and was always engrossed in self-realization, which
was His sole concern. He felt no pleasure in the things of this world or
of the world beyond. His Antarang (heart) was as clear as a mirror, and
His speech always rained nectar. The rich or poor people were the same
to Him. He neither knew nor cared for honour or dishonour. He was the
Lord of all beings. He spoke freely and mixed with all people, watched
the actings and dances of nautch-girls and heard gazal-songs. Still, He
swerved not an inch from samadhi (mental equilibrium). The name of
Allah was always on His lips. While the world awoke He slept, and
while the world slept He was vigilant. His inner self was as calm as the
deep sea, His Ashram could not be determined, nor His actions could
be definitely determined; and though He sat (lived) in one place, He
knew all the transactions of the world. His Darbar was imposing. He
told hundreds of stories daily, still He swerved not an inch from His
vow of silence. He always leaned against the wall in the Masjid or
walked morning, noon and evening towards Lendi (Nala) and Chavadi,
still He at all times abided in the Self. Though a Siddha, He acted like a
Sadhaka. He was meek, humble and egoless, and pleased all. Such was
Sai Baba, and as the soil of Shirdi was trodden by Sai Baba’s Feet, it
attained extraordinary importance. As Dnyaneshwar elevated Alandi,
Eknath did to Paithan, so Sai Baba raised Shirdi. Blessed are the grassleaves
and stones of Shirdi, for they could kiss the Holy Feet of Sai Baba,
and take his dust on their head. Shirdi became to us devotees, another
Pandharpur, Jagannath, Dwarka, Benaras (Kashi) and Rameshwar,
Badrikedar, Nasik, Tryambakeshwar, Ujjain and Maha Kaleshwar or
Mahabaleshwar Gokarn. Contact of Sai Baba in Shirdi was like our study
of Veda and Tantra; it quietened our Sansar (world consciousness) and
rendered self-realization. The darshan of Shri Sai was our Yoga-sadhana,
and talk with Him removed our sins. Shampooing His Legs was our
bath in Triveni Prayag, and drinking the holy water of His Feet destroyed
our sins. To us, His commands were Vedas, and accepting (eating) His
Udi (sacred ashes) and Prasad was all purifying. He was our Shri
Krishna and Shri Ram, Who gave us solace, and He was our Para
Brahma (Absolute Reality). He was Himself beyond the pair of
Dwandwas (opposites), never dejected nor elated. He was always
engrossed in His Self as ‘Existence, Knowledge and Bliss.’ Shirdi was
His centre, but His field of action extended far beyond, to Punjab,
Calcutta, North India, Gujarat, Dacca (now in Bangladesh) and Konkan.
Thus, the fame of Sai Baba spread, far and wide, and people from all
parts came to take His darshan and be blessed. By mere darshan, minds
of people, whether pure or impure, would become quiet at once. They
got here the same unparalleled joy that, devotees get at Pandharpur by
seeing Vitthal Rakhumai. This is not an exaggeration. Consider, what a
devotee says in this respect.",
4,5,Dictum of Goulibua,"An old devotee, by name Goulibua, aged about 95 years, was a
Varkari of Pandhari. He stayed for 8 months at Pandharpur and for four
months – Ashadha to Kartik (July – November) on the banks of the
Ganges. He had a donkey with him for carrying his luggage, and a
disciple as his companion. Every year he made his Vari or trip to
Pandharpur and came to Shirdi to see Sai baba, Whom he loved most.
He used to gaze at Baba saying, “This is Pandharinath Vitthal incarnate,
the merciful Lord of the poor and helpless.” This Goulibua was an old
devotee of Vitthoba, and had made many a trip to Pandhari; and he
testified that Sai Baba was real Pandharinath.",
4,6,Vitthal Himself Appeared,"Sai Baba was very fond of remembering and singing God’s name.
He always uttered “Allah Malik” (God is Lord), and in His presence
made others sing God’s name continuously, day and night, for all 7
days of the week. This is called ‘Naamsaptah’. Once He asked Das Ganu
Maharaj to do the Naamsaptah. He replied that he would do it, provided
he was assured that, Vitthal would appear at the end of the 7th day.
Then, Baba placing His hand on His chest assured him that, certainly
Vitthal would appear, but for that the devotee must be ‘earnest and
devout’. The Dankapuri (Takore) of Dakurnath, the Pandhari of Vitthal,
the Dwarka of Ranchhod (Krishna) is here (Shirdi). One need not go far
out to see Dwarka. Will Vitthal come here from some outside place? He
is here! Only when the devotee is bursting with love and devotion,
Vitthal will manifest Himself here (Shirdi).*
After the Saptah was over, Vitthal did manifest Himself in the
following manner. Kakasaheb Dixit was, as usual, sitting in meditation
after his bath. He saw Vitthal in a vision. When he went at noon for
Baba’s darshan, Baba asked him point-blank, “Did Vitthal Patil come?
Did you see Him? He is a very truant fellow, catch Him firmly,
otherwise, He will escape if you are even a little inattentive”. This
happened in the morning and at noon there was another Vitthal
darshan. A hawker came there for selling 25 or 30 pictures of Vithoba.
This picture exactly tallied with the figure that had appeared in
Kakasaheb’s vision. On seeing this and remembering Baba’s words,
Kakasaheb Dixit was much surprised and delighted. He bought one
picture of Vithoba, and placed it in his shrine for worship.",
4,7,Bhagwantrao Kshirsagar's Story,"How fond was Baba for Vitthal worship was illustrated in
Bhagwantrao Kshirsagar’s story. The father of Bhagwantrao was a
devotee of Vithoba, and used to make Varis (annual trips) to
Pandharpur. He also had an image of Vithoba at home, which he
worshipped. After his death, the son stopped everything – the Vari, the
worship and Shraddha ceremony etc. When Bhagwantrao came to
Shirdi, Baba on remembering his father, at once said, “His father was
my friend, so I dragged him (the son) here. He never offered Naivaidya
(offering of food) and so, he starved Vitthal and Me. So, I brought him
here. I shall remonstrate him now and set him to worship.”",
4,8,Das Ganu's Bath in Prayag,"The Hindus think that, a bath in the holy Tirth of Prayag1, where
the Ganga and Yamuna meet, is very meritorious and thousands of
pilgrims go there periodically, to have the sacred bath there. Once, Das
Ganu thought that, he should go to Prayag for a bath and came to Baba
to get His permission for doing so. Baba replied to him, “It is not
necessary to go so far. Our Prayag is here, believe Me!” Then, wonder
of wonders! When Das Ganu placed his head on Baba’s Feet, out flowed
streams of Ganga-Yamuna water from both the toes of Baba. Seeing this
miracle, Das Ganu was overwhelmed with feelings of love and adoration,
and tears filled my eyes. Inwardly he felt inspired, and his speech burst
forth into a song in praise of Baba and His Leelas.",
4,9,Immaculate Conception of Sai Baba and His First Advent in Shirdi,"Nobody knew the parents, birth or birth-place of Sai Baba. Many
enquiries were made, many questions were put to Baba and others,
regarding these, but no satisfactory answer or information has yet been
obtained. Practically, we know nothing about these matters. Namdev and
Kabir were not born like ordinary mortals. They were found as infants in
mother-of-pearls; Namdev being found on the bank Bhimrathi river by
Gonayi, and Kabir on the bank Bhagirathi river by Tamal. Similar was the
case with Sai Baba. He first manifested Himself as a young lad of sixteen
years under a Neem tree in Shirdi, for the sake of Bhaktas. Even then, He
seemed to be full of the knowledge of Brahma. He had no desire for worldly
objects even in dreams. He kicked out Maya, and Mukti (deliverance) was
serving at His feet. One old woman of Shirdi, the mother of Nana Chopdar,
described Him thus; this young lad, fair, smart and very handsome, was
first seen under the Neem tree, seated in an Asan. The people of the village
were wonder-struck to see such a young lad practising hard penance, not
minding heat and cold. By day he associated with none, by night he was
afraid of nobody. People were wondering and asking, whence this young
chap had turned up. His form and features were so beautiful that a mere
look endeared Him to all. He went to nobody’s door, always sat near the
Neem tree. Outwardly, he looked very young, but by His action He was
really a Great Soul. He was the embodiment of dispassion and was an
enigma to all. One day, it so happened that God Khandoba possessed the
body of some devotee and people began to ask him, “Deva (God), You please
enquire, what blessed father’s son is this lad and whence did He come.”
God Khandoba asked them to bring a pick-axe and dig in a particuar place.
When it was dug, bricks were found underneath a flat stone. When the
stone was removed, a corridor was seen, in which four Samayis (lights)
were burning. The corridor led to a cellar, where cow-mouth-shaped
structures, wooden boards, rosaries were seen. Khandoba said, “This lad
practised penance here for 12 years.” Then, the people began to question
the lad about this. He put them off by telling them that, this was His Guru’s
place, His holy Watan, and requested them to guard this well. The people
then closed the corridor as before. As Ashwattha and Audumbar trees are
held sacred, Baba regarded this Neem tree equally sacred, and loved it most.
Mhalsapati and other Shirdi devotees regard this site as the resting place
(Samadhi-sthan) of Baba’s Guru and prostrate before it.
",
4,10,Three Wadas,"(1) The site with the Neem tree and surrounding space was bought
by Mr. Hari Vinayak Sathe, and on this site a big building styled Sathe’s
Wada was erected. This Wada was the sole resting place for pilgrims,
who flocked there. A platform was built round the Neem tree and lofts
with steps were constructed. Under the steps, there is a niche facing south
and devotees sit on the Par (platform) facing north. It is believed that,
he, who burns incense there on Thursday and Friday evenings, will by
God’s grace, be happy. This Wada was old and dilapidated and needed
repairs. The necessary repairs, additions and alterations have been made
now by the Sansthan. (2) Then, after some years, another Wada, Dixit’s
Wada was constructed. Kakasaheb Dixit, Solicitor of Mumbai, had gone
to England. He had injured his leg in an accident there. The injury could
not be got rid of by any means. Nanasaheb Chandorkar advised him to
see Sai Baba. So, he went to Sai Baba in 1909, and requested Him to cure
the lameness of his mind rather than that of his leg. He was so much
pleased with the darshan of Sai Baba, that he decided to reside in Shirdi.
So, he built a Wada for himself and other devotees. The foundation of
this building was laid on 10-12-1910. On this day, two other important
events took place. (1) Mr. Dadasaheb Khaparde was given permission
to return home, and (2) The night Arati at the chavadi was started. The
Wada was completed and was inhabited on the Ram Navami day in
1911, with due rites and formalities. (3) Then, another Wada or palatial
mansion was put up by the famous millionaire, Mr. Buti, of Nagpur. A
lot of money was spent on this building, but it was all well utilized, as
Sai Baba’s Body is resting in this Wada, which is now called the
‘Samadhi Mandir’. The site of this Mandir formerly had a garden, which
was watered and looked after by Baba. Three Wadas thus came up,
where there was none formerly. Of these Sathe’s Wada was most useful
to all, in the early days.
The story of the garden which was attended by Sai Baba with the
help of Vaman Tatya, the temporary absence of Sai Baba from Shirdi,
and His coming again to Shirdi with the marriage-party of Chand Patil,
the company of Devidas, Jankidas and Gangagir, Baba’s wrestling
match with Mohiddin Tamboli, residing in the Masjid, love of Mr. Dengle
and other devotees; and other incidents will be described in the next
chapter.
Bow to Shri Sai – Peace be to all",
5,1,Return With Chand Patil's Marriage-party,"As hinted in the last chapter, I shall now describe first, how Sai
Baba returned to Shirdi after His disappearance.
There lived in the Aurangabad district (Nizam state), in a village
called ‘Dhoop’, a well-to-do Mohammeden gentlman by name Chand
Patil. While He was making a trip to Aurangabad, he lost his mare. For
two long months, he made a diligent search, but could get no trace of
the lost mare. After being disappointed, he returned from Aurangabad
with the saddle on his back. After travelling four Kos and a half, he
came on the way, to a mango tree at the foot of which sat a fakir (queer
fellow). He had a cap on His head, wore Kafni (long robe) and had a
Satka (short stick) under His arm, and He was preparing to smoke a
Chillim (pipe). On seeing Chand Patil pass by, He called out to him and
asked him to have a smoke and to rest a little. The queer fellow or Fakir
asked him about the saddle. Chand Patil replied that, it was of his mare,
which was lost sometime back. The Fakir asked him to make a search
in the Nala close by. He went and the wonder of wonders! He found
the mare there. He thought that this Fakir was not an ordinary man, but
an Avalia (a great saint). He returned to the Fakir with the mare. The
Chillim was ready for being smoked, but two things were wanting : (1)
fire to light the pipe, and (2) water to wet the Chhapi (piece of cloth,
through which smoke is drawn up). The Fakir took His prong and
thrust it forcibly into the ground and out came a live ember, which He
put on the pipe. Then, He dashed the Satka on the ground, from where
water began to ooze. The Chhapi was wetted with that water, then
wrung out and wrapped round the pipe. Thus, everything being
complete, the Fakir smoked the Chillim and then, gave it also to Chand
Patil. On seeing all this, Chand Patil was wonder-struck. He requested
the Fakir to come to his home and accept his hospitality. Next day, He
went to Patil’s house and stayed there for some time. Patil was a villageofficer
of Dhoop. His wife’s brother’s son was to be married and the
bride was from Shirdi. So, Patil made preparations to start for Shirdi for
the marriage. The Fakir also accompanied the marriage-party. The
marriage went off without any hitch, the party returned to Dhoop,
except the Fakir who stayed back in Shirdi, and remained there forever.",
5,2,How the Fakir Got the Name 'Sai',"When the marriage-party came to Shirdi, it alighted at the foot of
a Banyan tree in Bhagat Mhalsapati’s field, near Khandoba’s temple.
The carts were loosened in the open courtyard of Khandoba’s temple,
and the members of the party descended one by one, and the Fakir also
got down. Bhagat Mhalsapati saw the young Fakir getting down and
accosted Him “YA SAI” (Welcome Sai)! Others also addressed Him as
“Sai” and thenceforth, He became ‘Sai Baba’.",
5,3,Contact With Other Saints,"Sai Baba began to stay in a deserted Masjid. One saint, named
Devidas had been living in Shirdi, for many years before Baba came
there. Baba liked his company. He stayed with him in the Maruti
temple, in the Chavadi, and for some time lived alone. Then, came
another saint by name Jankidas. Baba spent most of His time in talking
with him, or Jankidas went to Baba’s residence. So also, one Vaishya
house-holder saint, from Puntambe by name Gangagir, always
frequented Shirdi. When he first saw Sai Baba, carrying pitchers of
water in both hands, for watering the garden, he was amazed and said
openly, “Blessed is Shirdi, that, it got this Precious Jewel. This man is
carrying water to-day; but He is not an ordinary fellow. As this land
(Shirdi) was fortunate and meritorious, it secured this Jewel.” So also,
one famous saint by name Anandnath of Yewala Math2, a disciple of
Akkalkot Maharaj, came to Shirdi with some people when he saw Sai
Baba, he said openly, “This is a Precious Diamond in reality. Though
He looks like an ordinary man, He is not a ‘Gar’ (ordinary stone), but
a Diamond. You will realize this in the near future.” Saying this he
returned to Yewala. This was said, while Sai Baba was a youngster.",
5,4,Baba's Dress and Daily Routine,"In His young days, Sai Baba grew the hair on His head, never had
His head shaved. He dressed like an athlete. When He went to Rahata
(3 miles from Shirdi), He brought with Him small plants of Merrigold,
Jai and Jui, and after cleaning them He planted and watered them. A
devotee, by name Vaman Tatya, supplied Him daily with two unbaked
earthen pitchers. With these Baba Himself used to water the plants. He
drew water from the well and carried the pitchers on His shoulders. In
the evening, the pitchers were kept at the foot of the Neem tree. As soon
as they were placed there, they broke as they were made of mud and
not baked. Next day, Tatya supplied two fresh pitchers. This course
went on for 3 years, and with Sai Baba’s toil and effort, there grew a
garden. On this site, at present, stands the big mansion – Samadhi
Mandir of Baba, which is now frequented by so many devotees.",
5,5,The Story of Padukas (foot-prints) under the Neem Tree,"A devotee of Akkalkot Maharaj, by name Bhai Krishnaji Alibagkar,
worshipped the photo of Akkalkot Maharaj. He once thought of going
to Akkalkot (Solapur district), take the darshan of the Padukas (footprints)
of the Maharaj and offer his sincere prayer there, but before he
could go there, he got a vision in his dream. Akkalkot Maharaj appeared
in the vision and said to him, “Now, Shirdi is my resting place, go there
and offer your worship!” So, Bhai changed his plan and came to Shirdi,
worshipped Baba, stayed there for six months and was happy. As a
reminiscence of this vision etc., he prepared the Padukas and installed
them on an auspicious day of Shravan, Shaka 1834 (1912 A.D.) under
the Neem tree with due ceremonies and formalities, conducted by Dada
Kelkar and Upasani. One Dixit Brahmin was appointed for worship,
and the management was entrusted to devotee Sagun.",
5,6,Complete Version of this Story,"Mr. B.V. Dev, retired Mamlatdar of Thana, and a great devotee of
Sai Baba, made enquiries about this matter with Sagun Meru Naik and
Govind Kamlakar Dixit and has published a full version of the Padukas
in Sai Leela, Vol. 11, No. I, page 25. It runs as follows :
In 1834 Shaka (1912 A.D.) one Doctor Ramrao Kothare of Mumbai
came to Shirdi for Baba’s darshan. His compounder and his friend,
Bhai Krishnaji Alibagkar, accompanied him. The compounder and Bhai
became intimate with Sagun Meru Naik and G.K. Dixit. While discussing
things, these persons thought that, there must be some memorial of Sai
Baba’s first advent at Shirdi and his sitting under the holy Neem tree.
They thought of installing Baba’s Padukas there, and were going to
make them of some rough stone. Then, Bhai’s friend, the compounder,
suggested that, if this matter was made known to his master, Dr. Ramrao
Kothare, he would prepare nice Padukas for this purpose. All liked this
proposal and Dr. Kothare was informed of it. He came to Shirdi and
drew a plan of the Padukas. He went to Upasani Maharaj in Khandoba’s
temple and showed him his plan. The latter made many improvements,
drew lotus, flowers, conch, disc, mace etc. and suggested that, the
following Shloka (verse), regarding Neem tree’s greatness and Baba’s
Yogic powers be inscribed. The verse was as follows :
“Sada Nimbavrikshasya mooladhiwasaat,
Sudhastravinam tiktamapiapriyam tam,
Tarum Kalpavrikshadhikam sadhayantam
Namameeshwaram Sadgurum Sai Natham”*
Upasani’s suggestions were accepted and carried out. The Padukas
were made in Mumbai and sent to Shirdi with the compounder. Baba
said that they should be installed on the Pournima (15th) of Shravan.
On that day at 11 a.m., G.K. Dixit brought them on his head from
Khandoba’s temple to the Dwarkamai (Masjid) in a procession. Baba
touched the Padukas, saying that, these are the Feet of the Lord, and
asked the people to install them at foot of the Neem tree.
A day earlier, one Parsi devotee of Mumbai, named Pastha Sheth,
sent Rs. 25/- by money order. Baba gave this sum for the installation
of the Padukas. The total expense of installation came up to Rs. 100/-,
out of which Rs. 75/- were collected by subscriptions. For the first 5
years, G.K. Dixit worshipped the Padukas daily and then, this was
done by Laxman Kacheshwar Jakhadi. In the first five years, Dr. Kothare
sent Rs. 2 per month for lighting the lamp and he also sent the railing
round the Padukas. The expense of bringing the railing from the station
to Shirdi (Rs. 7-8-0)1 (presently Rs. 7.50 p.) and roofing was paid by
Sagun Meru Naik. Now, Jakhadi (Nana Pujari) does the worship, and
Sagun Meru Naik offers the Naivaidya and lights the evening lamps.
Bhai Krishnaji was originally a devotee of Akkalkot Maharaj. He
had come to Shirdi at the installation of the Padukas, in Shaka 1834
on his way to Akkalkot. He wanted to go to Akkalkot, after taking the
darshan of Baba. He asked Baba’s permission for this. Baba said, “Oh,
what is there in Akkalkot? Why do you go there? The Maharaj of that
place is here, Myself.” Hearing this, Bhai did not go to Akkalkot. He
came to Shirdi off and on, after the installation of the Padukas.
Mr. B.V. Dev concluded that, Hemadpant did not know these
details. Had he known them, he would not have failed to depict them
in his Satcharita.",
5,7,Wrestling Bout with Mohiddin Tamboli and Change in Life style,"To return to other stories of Baba. There was a wrestler in Shirdi,
by name Mohiddin Tamboli. Baba and he did not agree on some
points, and both had a fight. In this Baba was defeated. Thenceforth,
Baba changed His dress and mode of living. He donned Kafni, wore
a Langot (waist band) and covered His head with a piece of cloth. He
took a piece of sack-cloth for His bed, and was content with wearing
torn and worn out rags. He always said that “Poverty is better than
kingship, far better than Lordship. The Lord is always brother
(befriender) of the poor.” Gangagir was also very fond of wrestling.
Once while he was wrestling, a similar feeling of dispassion descended
over him, and at the proper time he heard the voice of an adept saying
that he should wear out his body, playing with God. So, he too gave
up Sansara and turned towards God-realization. He established a
Math on the banks of the river, near Puntambe, and lived there with
his disciples.
Sai Baba did not mix and speak with the people. He only gave
answers, when he was questioned. By day he always sat under the Neem
tree, some times in the shade of a Babool tree, near the stream, on the
outskirts of the village. In the afternoon, He used to walk at random and
go at times to Nimgaon. There, He frequented the house of Balasaheb
Dengle. Baba loved Mr. Balasaheb. His younger brother, named Nanasaheb
had no son, though he married a second wife. Balasaheb sent Nanasaheb
for taking darshan of Sai Baba, and after some time with His grace
Nanasaheb got a son. From that time onwards, people began to come in
large numbers to see Sai Baba, and His fame began to spread and reached
Ahmednagar, from thence, Nanasaheb Chandorkar and Keshav
Chidamber, and many others began to come to Shirdi. Baba was
surrounded by His devotees during day, and slept at night in an old and
dilapidated Masjid. Baba’s paraphernalia at this time, consisted of a
Chillim, tobacco, a ‘Tumrel’ (tin pot), long Kafni, a piece of cloth round
His head, and a Satka (short stick), which He always kept with Him. The
piece of white cloth on the head was twisted like matted hair, and flowed
down from the left ear on the back. This was not washed for weeks. He
wore no shoes, no sandals. A piece of sack-cloth was His seat for most
of the day. He wore a coupin (waist-cloth-band) and for warding off cold,
he always sat in front of a Dhuni (sacred fire) facing south, with His left
hand resting on the wooden railing. In that Dhuni, He offered an oblation
of egoism, desires and always uttered “Allah Malik” (God is the sole
owner). The Masjid, in which He sat, was only of two room dimensions,
where all devotees came and saw Him. After 1912, there was a change.
The old Masjid was repaired and a pavement was constructed. Before
Baba came to live in this Masjid, He lived for a long time in a place Takia,
where with Ghungru (small bells) tied on His ankles, Baba danced
beautifully and sang with tender love.",
5,8,Turning Water into Oil,"Sai Baba was very fond of lights. He used to borrow oil from
shopkeepers, and keep lamps burning the whole night in the Masjid
and temple. This went on for some time. The Banias1, who supplied oil
gratis, once met together and decided not to give Him oil. When, as
usual, Baba went to ask for oil, they all gave Him a distinct “No”.
Unperturbed, Baba returned to the Masjid and kept the dry wicks in the
lamps. The Banias were watching Him with curiosity. Baba took the
Tumrel (tin pot), which contained very little (a few drops) oil, put water
into it and drank it, and then, forced it out to fall into the container.
After consecrating the tin-pot in this way, He again took the water from
the tin-pot and filled all the lamps with it and lighted them. To the
surprise and dismay of the watching Banias, the lamps began to burn
and kept burning the whole night. The Banias repented and apologized
and Baba forgave them, and asked them to be more truthful in future.",
